# Exchange Bridge Security Log
[2025-11-11 19:52:01] [PROXR휚ETECTED] IP:37.186.40.96 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:01] [LICENSE_OK] IP:37.186.40.96 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:03] [ACCESS] IP:69.176.1.4 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:System access from 69.176.1.4
[2025-11-11 19:52:03] [PROXR휚ETECTED] IP:69.176.1.4 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:03] [LICENSE_OK] IP:69.176.1.4 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:03] [ACCESS] IP:69.176.1.4 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:System access from 69.176.1.4
[2025-11-11 19:52:03] [PROXR휚ETECTED] IP:69.176.1.4 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:03] [LICENSE_OK] IP:69.176.1.4 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/141.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:03] [ACCESS] IP:37.186.40.96 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:System access from 37.186.40.96
[2025-11-11 19:52:03] [PROXR휚ETECTED] IP:37.186.40.96 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:03] [LICENSE_OK] IP:37.186.40.96 SCRIPT:/admin/exchanges/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:05] [ACCESS] IP:64.184.109.228 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:System access from 64.184.109.228
[2025-11-11 19:52:05] [PROXR휚ETECTED] IP:64.184.109.228 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:05] [LICENSE_OK] IP:64.184.109.228 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:05] [ACCESS] IP:64.184.109.228 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:System access from 64.184.109.228
[2025-11-11 19:52:05] [PROXR휚ETECTED] IP:64.184.109.228 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:05] [LICENSE_OK] IP:64.184.109.228 SCRIPT:/admin/login.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/139.0.0.0 Safari/537.36 MSG:License verification successful
[2025-11-11 19:52:08] [ACCESS] IP:37.186.40.96 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:System access from 37.186.40.96
[2025-11-11 19:52:08] [PROXR휚ETECTED] IP:37.186.40.96 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:Proxy usage detected via header: HTTP_X_FORWARDED_FOR
[2025-11-11 19:52:08] [LICENSE_OK] IP:37.186.40.96 SCRIPT:/admin/currencies/index.php UA:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36 MSG:License verification successful
